antigen,gtex_top_normal_tpm,hpa_rna_specificity,protein_normal_tissues,ihc_reliability,rna_ihc_concordance,polarity_access,clinical_toxicity,risk_note,key_dois
FOLH1 (PSMA),Brain Spinal cord cervical c-1 61; Prostate 51; Brain Substantia nigra 22; Brain Hippocampus 17; Minor Salivary Gland 14,"Tissue enhanced (intestine, prostate)","Kidney proximal-tubule brush border, small intestine, salivary/lacrimal gland, CNS astrocytes/neuropil, prostate epithelium",Enhanced,Concordant,"APICAL (renal PT brush border, gut) — luminal, largely shielded from blood; but salivary/lacrimal & CNS accessible to radioligands","Xerostomia (salivary), lacrimal, nephrotoxicity with 177Lu-PSMA RLT; well-documented on-target off-tumor",MODERATE. Broad normal expression but apical/enzymatic; toxicity real (salivary/kidney) yet clinically manageable. Well-validated target.,10.2967/jnumed.117.203877; 10.2967/jnumed.118.214379
STEAP1,Cells Cultured fibroblasts 200; Prostate 56; Adipose Visceral Omentum 36; Adipose Subcutaneous 27; Breast Mammary Tissue 26,Tissue enhanced (prostate),"Prostate epithelium; low-level bladder/testis; HPA IHC 'Not detected' (Uncertain, single Ab)",Uncertain,DISCORDANT (assay-limited — HPA underdetects),"Plasma-membrane, multi-span; prostate luminal epithelium",Xaluritamig (STEAP1xCD3): CRS predominant; limited off-tumor at doses tested — favorable prostate restriction,"LOW-MODERATE. Prostate-restricted, low normal expression. Do NOT treat HPA 'Not detected' as proof of absence (Uncertain reliability).",10.1158/2159-8290.cd-23-0964; 10.3390/cancers14164034
STEAP2,Prostate 76; Cells Cultured fibroblasts 26; Lung 22; Ovary 22; Pituitary 22,Tissue enriched (prostate),"Prostate epithelium; scattered protein calls (cerebral cortex, fallopian tube) at low confidence",Uncertain,Partial (assay-limited),Plasma-membrane; prostate luminal epithelium,No approved agent; expected prostate-restricted like STEAP1; toxicity profile unproven,LOW-MODERATE (uncertain). Prostate-enriched transcript; protein map low-confidence. Needs orthogonal protein validation.,10.1111/boc.201200027
PSCA,Stomach 1261; Esophagus Mucosa 165; Bladder 124; Vagina 75; Prostate 63,"Tissue enriched (stomach >> bladder, esophagus, prostate)","Stomach (mucous neck cells, strong), bladder/urothelium, esophagus, prostate; plasma membrane",Approved,Concordant,"Plasma-membrane, GPI-anchored; urothelial/gastric — apical/luminal but urothelium accessible",PSCA-CAR T (mCRPC ph1): on-target activity; substantial normal stomach/bladder expression is the key off-tumor liability,MODERATE-HIGH. High normal GI/bladder protein confirmed. On-target off-tumor to stomach/urothelium is the dominant concern.,10.1038/s41591-024-02979-8
HPN (hepsin),Liver 492; Kidney Cortex 171; Pancreas 133; Kidney Medulla 130; Stomach 57,"Tissue enhanced (liver, kidney, pancreas)","Liver (strong IHC), variable/weak kidney & pancreas at protein; prostate epithelium. Protein narrower than RNA",Approved,DISCORDANT (RNA broad liver+kidney+pancreas; protein concentrates in liver) — weak RNA/protein concordance,"APICAL type-II transmembrane serine protease on epithelial luminal surface (bile canaliculi, renal tubule, prostate lumen) — luminal, less vascular-accessible",No approved agent; expected hepatic/renal on-target if protein present; protease activity adds functional risk,MODERATE. RNA overstates breadth; protein liver-dominant & apical. Concordance weak → protein data change the risk map.,10.2741/2447; 10.3390/ijms21082663
TMPRSS2,Prostate 178; Stomach 114; Colon Transverse 64; Pancreas 49; Lung 43,"Tissue enhanced (prostate, stomach, colon, lung)","Prostate, lung (alveolar/airway epithelium), GI, kidney — protein documented in literature despite HPA IHC 'Not detected'",Enhanced (but scores 'Not detected'),DISCORDANT (HPA IHC negative vs high RNA + literature-confirmed protein),APICAL type-II transmembrane serine protease; airway/prostate luminal surface,Mainly a fusion-partner/entry protease; not a mature ADC/T-cell target; expected lung/GI/prostate off-tumor if targeted,"MODERATE. Broad epithelial protein (lung, GI, prostate). HPA 'Not detected' is misleading — transcript+literature indicate real protein.",10.1183/13993003.01123-2020
TACSTD2 (TROP2),Esophagus Mucosa 1419; Skin Not Sun Exposed Suprapubic 709; Skin Sun Exposed Lower leg 684; Minor Salivary Gland 681; Vagina 656,"Tissue enhanced (esophagus, skin, salivary gland — broad epithelial)","Broad: skin keratinocytes, oral/esophageal squamous mucosa, salivary gland, breast, urothelium, lung, GI; plasma membrane",Enhanced,Concordant,Membranous at epithelial junctions (claudin/tight-junction regulator); largely basolateral/junctional but broadly present in skin & mucosa (accessible),"Sacituzumab govitecan: neutropenia, diarrhea, mucositis, skin/rash — reflect broad normal epithelial TROP2 (plus payload effects)","HIGH breadth. Very broad normal epithelial protein confirmed at high reliability. Therapeutic index depends on ADC payload/dose, not antigen restriction.",10.1002/cncr.30789; 10.1242/bio.059403
CD276 (B7-H3),Cells Cultured fibroblasts 63; Cervix Ectocervix 54; Cervix Endocervix 51; Adipose Subcutaneous 47; Artery Aorta 42,"Low tissue specificity (broad, fibroblast/stromal)","Broad low-level: epithelia, some endothelium, stroma, fibroblasts; protein often exceeds mRNA (post-transcriptional/miR-29)",Enhanced,Partial — protein > RNA (post-transcriptional de-repression),Plasma-membrane; broad including vascular/stromal — vascular-accessible in some sites,ADC/CAR programs: broad normal protein raises off-tumor concern; toxicity dominated by payload; tumor overexpression vs normal is quantitative not qualitative,"MODERATE-HIGH & UNDER-ESTIMATED BY RNA. Because protein exceeds transcript, a transcript-only estimate understates normal presence. Flag.",10.1038/s41467-023-36881-7; 10.1186/s12943-023-01751-9
EPCAM,Colon Transverse 347; Small Intestine Terminal Ileum 309; Thyroid 260; Kidney Medulla 172; Pituitary 135,Tissue enhanced (intestine — broad epithelial),"Broad simple/glandular epithelia: GI tract, hepatic bile ducts, kidney tubules, thyroid, pancreas, breast; strong membranous",Enhanced,Concordant,BASOLATERAL epithelial adhesion molecule (junctional); essential for gut barrier (loss→tufting enteropathy). Basolateral = less luminal but junctional/accessible,"Catumaxomab (anti-EpCAM x CD3): cytokine effects, hepatotoxicity, GI; broad epithelial EpCAM drives on-target risk",HIGH breadth. Ubiquitous epithelial protein confirmed at high reliability. Off-tumor GI/hepatic risk intrinsic to target.,10.1002/ijc.25423; 10.1002/humu.23688
DLL3,Brain Nucleus accumbens basal ganglia 11; Brain Hypothalamus 9; Brain Amygdala 8; Brain Anterior cingulate cortex BA24 7; Brain Caudate basal ganglia 6,"Tissue enriched (brain — low absolute, max ~11 TPM)",Minimal normal surface protein; predominantly intracellular (Golgi). HPA IHC 'Not detected'. Aberrant surface expression in SCLC/NEPC,None/NA,"Concordant (low) — low RNA, intracellular protein, no normal surface","Normally INTRACELLULAR (Golgi/cytoplasm), not cell-surface accessible in normal tissue; surface only on tumor","Tarlatamab (DLL3xCD3): CRS and neurologic events (ICANS) — mechanism/on-tumor driven, minimal normal on-target off-tumor","LOWEST off-tumor. Near-absent normal surface protein; tumor-selective surface presentation. Toxicity is CRS/neuro, not normal-tissue on-target.",10.1056/nejmoa2307980; 10.1186/s13045-023-01464-y
