gene,RNA_distribution,IHC_protein_call,IHC_reliability,concordance,concordance_rationale
FOLH1,"High: prostate, brain, kidney PT, salivary gland, small intestine (GTEx brain 61/prostate 51; HPA intestine+prostate)","Protein group-enriched: small intestine, salivary gland; strong kidney proximal-tubule brush border, prostate epithelium",Enhanced,Concordant,"IHC brush-border + neuroendocrine staining matches RNA; PSMA protein sites (kidney PT, salivary, duodenum, brain astrocytes) well established."
STEAP1,Prostate-enriched (GTEx prostate 56; HPA prostate 79),HPA IHC scores 'Not detected',Uncertain,DISCORDANT (assay-limited),"Single antibody (HPA030985), Uncertain reliability → HPA IHC underdetects. STEAP1 protein is documented at prostate/bladder/testis membranes in primary literature; do NOT read HPA 'Not detected' as absence."
STEAP2,Prostate-enriched (GTEx prostate 76; HPA prostate 120),"Group-enriched (cerebral cortex, fallopian tube); vesicles",Uncertain,Partial (assay-limited),Two antibodies but Uncertain reliability; RNA is prostate-dominant while protein calls are scattered → low confidence in protein map.
PSCA,Stomach>>bladder>esophagus>prostate (GTEx stomach 1261; HPA stomach 3010),"Tissue-enriched: stomach (very strong), plus bladder/urothelium, prostate; plasma membrane",Approved,Concordant,"Protein staining tracks RNA: stomach neck/isthmus mucous cells, urothelium, prostate. Strong GI/bladder normal protein confirmed."
HPN,"Liver>>kidney>pancreas>stomach (GTEx liver 493, kidney 171, pancreas 133)",Protein 'detected in some' — HPA protein-specific intensity only LIVER; kidney/pancreas protein weak/absent by IHC,Approved,DISCORDANT (user-flagged),RNA broad (liver+kidney+pancreas+prostate) but IHC protein concentrates in liver and is weak elsewhere; hepsin RNA↔protein concordance reported weak. Protein map narrower than transcript.
TMPRSS2,Prostate>>stomach>colon>pancreas>lung (GTEx prostate 178),HPA IHC scores 'Not detected',Enhanced,DISCORDANT,"Despite Enhanced reliability tag, HPA IHC calls protein 'Not detected' while RNA is high in prostate/GI/lung and protein is well documented (lung, prostate, GI) in literature. HPA absence is assay/threshold artifact, not biology."
TACSTD2,"Broad epithelial: esophagus>skin>salivary gland>vagina>cervix (GTEx esophagus 1419, skin ~700)","Tissue-enhanced, detected in many; strong squamous/glandular epithelia; plasma membrane",Enhanced,Concordant,"TROP2 protein staining broadly matches RNA across stratified/glandular epithelia (skin, oral/esophageal mucosa, salivary, breast, urothelium). Broad normal protein confirmed."
CD276,"Low tissue specificity RNA (GTEx broad, fibroblast/stromal); HPA 'low tissue specificity'","Protein detected in many tissues; tissue-enhanced (ovary), vesicles/membrane",Enhanced,Partial / protein>RNA,"B7-H3 is post-transcriptionally repressed (miR-29); protein can exceed what mRNA suggests. HPA protein broad. Normal protein present on epithelia, some endothelium/stroma."
EPCAM,"Epithelial: colon>ileum>thyroid>kidney medulla>pituitary (GTEx colon 347, ileum 309)","Tissue-enhanced, detected in many; strong basolateral epithelial membrane (GI, liver bile ducts, kidney, thyroid); plasma membrane",Enhanced,Concordant,Protein tracks RNA across simple/glandular epithelia; classic basolateral epithelial adhesion molecule. Broad normal protein confirmed.
DLL3,"Brain-enriched, low absolute (GTEx max ~11 TPM CNS); HPA brain 27","HPA IHC 'Not detected'; subcellular Golgi/nucleoplasm, not surface",None/NA,Concordant (low),DLL3 normal expression minimal and intracellular (Golgi); little/no normal cell-surface protein. HPA 'Not detected' consistent with tumor-selective surface presentation.
