Program,Antigens,Modality,Logic,Sponsor,Phase,Identifier,Status_Efficacy
"Kloss et al. 2013 PSMA×PSCA split-signal (""balanced signaling"") CAR","PSMA (activation, low-affinity CAR) + PSCA (costimulation, CCR)",CAR-T (dual-receptor: CAR + chimeric costimulatory receptor),True AND gate (preclinical prototype),Memorial Sloan Kettering (Sadelain lab),Preclinical (mouse xenograft),Nat Biotechnol 2013;31:71-75 (no NCT),Benchmark paper establishing split-signal logic gating; co-transduced T cells eradicated PSMA+PSCA+ tumors but spared single-antigen-positive tumors in NSG mice. Never clinically translated as designed; conceptual basis for later logic-gated CAR trials.
"PSMA/CD70 bispecific ""logic-gated"" CAR-T (bi-4SCAR PSMA/CD70)",PSMA + CD70,CAR-T (bispecific/dual CAR construct),"Marketed as logic-gated / AND-like dual-antigen CAR; public trial record does not confirm a Kloss-style split-signal (CAR+CCR) architecture — construct co-expresses both specificities in one product, so functionally it may behave more OR-like unless a true split design is used",Shenzhen Geno-Immune Medical Institute (investigator-initiated),Phase 1/2 (recruiting),NCT05437341,"Described in reviews as the first logic-gated bispecific CAR-T for mCRPC to enter clinical testing; recruiting, no efficacy data publicly reported as of mid-2026."
Xaluritamig (AMG 509),STEAP1 (tumor) × CD3 (T cell),T-cell engager (XmAb 2+1 bispecific),"Single tumor-antigen × CD3 engager (avidity-based 2+1 format, not a dual-tumor-antigen AND gate)",Amgen,Phase 1 completed dose exploration → Phase 3 (XALute) ongoing,NCT04221542 (Ph1); NCT06691984 (Ph3 XALute),"Ph1: manageable safety, encouraging efficacy in heavily pretreated mCRPC (41% ORR in high-dose cohort). Ph3 XALute (~675 pts, xaluritamig vs cabazitaxel/2nd ARDT, OS primary endpoint) actively enrolling as of 2026."
ABBV-969,PSMA + STEAP1,"Antibody-drug conjugate (dual-variable-domain IgG1, topoisomerase-1 inhibitor payload)","OR-like dual-target agent — binds and is cytotoxic to cells expressing either or both antigens, explicitly intended to broaden tumor coverage vs single-antigen ADCs, not an AND gate",AbbVie,"Phase 1 (dose escalation complete, dose optimization ongoing)",NCT06318273,"ASCO 2026: 45% confirmed ORR (29 RECIST-evaluable pts), 67% PSA50, 28% PSA90 at active doses in heavily pretreated mCRPC; manageable safety profile."
P-PSMA-101,PSMA,"CAR-T (autologous, piggyBac non-viral, TSCM-enriched, iCasp9 safety switch)",Single-target,Poseida Therapeutics,Phase 1,NCT04249947,Clin Cancer Res 2026: 33 pts treated; PSA50 in 21% (7/33); 1 PR among 13 RECIST-evaluable; durable (>12 mo) remissions in 2 pts; CRS 61% (grade≥3 9%); DLTs in 18%.
PSMA-TGFβdn armored CAR-T,PSMA,"CAR-T (autologous, armored with dominant-negative TGF-β receptor)",Single-target,Memorial Sloan Kettering / academic,Phase 1,NCT03089203,"Nat Med 2022: 18 enrolled/13 treated across 4 dose levels; grade≥2 CRS in 5/13, transient antitumor activity, dose-dependent toxicity/expansion; all prespecified safety/feasibility endpoints met."
Acapatamab (AMG 160),PSMA × CD3,T-cell engager (half-life-extended BiTE),Single tumor-antigen × CD3,Amgen,Phase 1 (discontinued),NCT04671186 / related program (n=133 pooled dose-exploration+expansion),"Discontinued after Phase 1: ORR 7.4%, PSA50 30.4%, rPFS 3.7 months, CRS in ~95-98% of patients (~20% grade≥3), 55% developed ADAs reducing exposure."
Pasotuxizumab (AMG 212/BAY 2010112),PSMA × CD3,"T-cell engager (canonical BiTE, continuous IV)",Single tumor-antigen × CD3,Amgen/Bayer,Phase 1 (terminated),NCT01723475,First-in-human BiTE in prostate cancer; PSA reduction up to 54.9% in the highest-dose cohort but 81% grade 3/4 treatment-related AEs; program terminated in favor of acapatamab.
HPN424,PSMA × CD3 × albumin (tri-specific TriTAC),T-cell engager (tri-specific small-format protein),"Single tumor-antigen × CD3 (albumin arm is for half-life, not tumor targeting)",Harpoon Therapeutics (partnered with AbbVie/Merck historically),Phase 1/2a,NCT03577028,"Dose escalation showed manageable, transient AEs, dose-proportional PK, PSA declines and CTC reductions in a subset of heavily pretreated mCRPC patients; no registrational data reported."
JNJ-63898081,PSMA × CD3,T-cell engager (bispecific antibody),Single tumor-antigen × CD3,Janssen (J&J),Phase 1 (discontinued),NCT03926013,Reported preliminary safety/activity; program not advanced further.
"177Lu-PSMA-617 (Pluvicto, vipivotide tetraxetan)",PSMA,"Radioligand therapy (beta-emitter, 177Lu)",Single-target,Novartis,FDA-approved (Phase 3 VISION-supported),NCT03511664 (VISION),"First FDA-approved PSMA radioligand therapy (March 2022) for post-ARPI/taxane mCRPC; label expanded (March 2025) to pre-taxane, post-ARPI setting. VISION: HR 0.40 for imaging-based PFS vs SOC."
