antigen,topic,claim,doi,source,url
FOLH1,expression/polarity,"PSMA (GCPII/folate hydrolase) in kidney proximal tubule brush border, small intestine, salivary/lacrimal gland, and CNS astrocytes; PSMA imaging/therapy biodistribution",10.2967/jnumed.117.203877,J Nucl Med 2018 (PSMA biology perspective),https://doi.org/10.2967/jnumed.117.203877
FOLH1,toxicity,Salivary gland toxicity (xerostomia) is the dominant on-target off-tumor effect of 177Lu-PSMA radioligand therapy; preventive strategies reviewed,10.2967/jnumed.118.214379,J Nucl Med 2018 (salivary tox),https://doi.org/10.2967/jnumed.118.214379
FOLH1,toxicity,177Lu-PSMA-617 multicenter safety: xerostomia and nephrotoxicity as key normal-tissue dose-limiting sites,10.2967/jnumed.116.183194,J Nucl Med 2016 (German multicenter),https://doi.org/10.2967/jnumed.116.183194
FOLH1,CNS expression,"PSMA = glutamate carboxypeptidase II in brain; NAAG hydrolysis, astrocyte/neuropil expression",10.1038/s41380-022-01656-x,Mol Psychiatry 2022 (GCPII DLPFC),https://doi.org/10.1038/s41380-022-01656-x
STEAP1,toxicity/target,"Xaluritamig (AMG 509), STEAP1xCD3 T-cell engager, mCRPC phase 1: CRS the main toxicity; STEAP1 prostate-restricted with low normal expression",10.1158/2159-8290.cd-23-0964,Cancer Discov 2023 (xaluritamig clinical),https://doi.org/10.1158/2159-8290.cd-23-0964
STEAP1,target biology,AMG 509 preclinical: STEAP1 avidity-driven targeting; normal expression low outside prostate,10.1158/2159-8290.cd-23-0984,Cancer Discov 2023 (AMG509 preclinical),https://doi.org/10.1158/2159-8290.cd-23-0984
STEAP1,expression,STEAP1 six-transmembrane membrane antigen; prostate + bladder/testis; family review,10.3390/cancers14164034,Cancers 2022 (STEAP1-4 review),https://doi.org/10.3390/cancers14164034
STEAP1,CAR-T,STEAP1 CAR-T for advanced prostate cancer; STEAP1 as membrane target,10.1038/s41467-023-37874-2,Nat Commun 2023 (STEAP1 CAR-T),https://doi.org/10.1038/s41467-023-37874-2
STEAP2,expression,STEAP family oxidoreductases; STEAP2 prostate-enriched; targets for immunotherapy,10.1111/boc.201200027,Biol Cell 2012 (STEAP family),https://doi.org/10.1111/boc.201200027
PSCA,toxicity/CAR-T,PSCA-CAR T phase 1 in mCRPC: on-target activity; PSCA normal expression in bladder/stomach urothelium raises off-tumor risk,10.1038/s41591-024-02979-8,Nat Med 2024 (PSCA-CAR T phase 1),https://doi.org/10.1038/s41591-024-02979-8
